Format Version,1.25,Take Name,Take 2026-08-14 09.09.35 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-14 09.09.35.233 AM,Capture Start Frame,226598,Total Frames in Take,138,Total Exported Frames,138,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001:Marker 001,Camera 001:Marker 001,Camera 001:Marker 001,Camera 001:Marker 002,Camera 001:Marker 002,Camera 001:Marker 002,Camera 001:Marker 003,Camera 001:Marker 003,Camera 001:Marker 003,Camera 001:Marker 001,Camera 001:Marker 001,Camera 001:Marker 001,Camera 001:Marker 002,Camera 001:Marker 002,Camera 001:Marker 002,Camera 001:Marker 003,Camera 001:Marker 003,Camera 001:Marker 003,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047
,ID,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,"22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","56CEACD6979E11F1:ABE2E0AD00C477B3","56CEACD6979E11F1:ABE2E0AD00C477B3","56CEACD6979E11F1:ABE2E0AD00C477B3","56CEACD7979E11F1:ABE2E0AD00C477B3","56CEACD7979E11F1:ABE2E0AD00C477B3","56CEACD7979E11F1:ABE2E0AD00C477B3","56CEACD8979E11F1:ABE2E0AD00C477B3","56CEACD8979E11F1:ABE2E0AD00C477B3","56CEACD8979E11F1:ABE2E0AD00C477B3","550A:F0529DA1979911F1","550A:F0529DA1979911F1","550A:F0529DA1979911F1","550B:F0529DA1979911F1","550B:F0529DA1979911F1","550B:F0529DA1979911F1","550C:F0529DA1979911F1","550C:F0529DA1979911F1","550C:F0529DA1979911F1","550D:F0529DA1979911F1","550D:F0529DA1979911F1","550D:F0529DA1979911F1","550E:F0529DA1979911F1","550E:F0529DA1979911F1","550E:F0529DA1979911F1","550F:F0529DA1979911F1","550F:F0529DA1979911F1","550F:F0529DA1979911F1","5510:F0529DA1979911F1","5510:F0529DA1979911F1","5510:F0529DA1979911F1","5511:F0529DA1979911F1","5511:F0529DA1979911F1","5511:F0529DA1979911F1","5512:F0529DA1979911F1","5512:F0529DA1979911F1","5512:F0529DA1979911F1","5513:F0529DA1979911F1","5513:F0529DA1979911F1","5513:F0529DA1979911F1","5514:F0529DA1979911F1","5514:F0529DA1979911F1","5514:F0529DA1979911F1"
,Parent,,,,,,,,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000053,-0.000044,-0.000451,1.000000,2306.830566,1287.654785,-1941.340088,2352.534424,1312.894775,-2099.025391,2225.538574,1309.777100,-1889.718628,2342.418945,1240.292603,-1835.276001,2352.523682,1312.907104,-2099.050049,2225.542725,1309.782471,-1889.743408,2342.426025,1240.274414,-1835.225342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.000111,0.000019,-0.000482,1.000000,2306.822754,1287.651611,-1941.347656,2352.508545,1312.907349,-2099.035645,2225.538574,1309.773193,-1889.713379,2342.421387,1240.274780,-1835.293579,2352.490479,1312.922729,-2099.059570,2225.536621,1309.786987,-1889.757935,2342.442139,1240.244507,-1835.223022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.000101,-0.000009,-0.000431,1.000000,2306.825684,1287.649658,-1941.350342,2352.517822,1312.906616,-2099.036377,2225.536133,1309.763916,-1889.721191,2342.422852,1240.278564,-1835.293213,2352.506592,1312.920532,-2099.065674,2225.532715,1309.773926,-1889.750366,2342.437988,1240.254028,-1835.232910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.000070,0.000130,-0.000644,1.000000,2306.860352,1287.653198,-1941.323853,2352.519287,1312.881104,-2099.024414,2225.594727,1309.805298,-1889.673340,2342.467285,1240.273560,-1835.273682,2352.501709,1312.896729,-2099.050293,2225.633789,1309.794189,-1889.697388,2342.445557,1240.268433,-1835.223022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.000049,0.000071,-0.000572,1.000000,2306.849121,1287.661377,-1941.344727,2352.522949,1312.889282,-2099.040771,2225.573975,1309.803955,-1889.704834,2342.450195,1240.291382,-1835.288574,2352.509033,1312.900757,-2099.058105,2225.584229,1309.807495,-1889.733398,2342.454346,1240.275757,-1835.241943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
