Format Version,1.25,Take Name,Skeleton 001_ROM_010,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-13 05.27.06.145 PM,Capture Start Frame,2447028,Total Frames in Take,186,Total Exported Frames,186,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow:Marker 001,Arrow:Marker 001,Arrow:Marker 001,Arrow:Marker 002,Arrow:Marker 002,Arrow:Marker 002,Arrow:Marker 003,Arrow:Marker 003,Arrow:Marker 003,Arrow:Marker 004,Arrow:Marker 004,Arrow:Marker 004,Arrow:Marker 005,Arrow:Marker 005,Arrow:Marker 005,Arrow:Marker 001,Arrow:Marker 001,Arrow:Marker 001,Arrow:Marker 002,Arrow:Marker 002,Arrow:Marker 002,Arrow:Marker 003,Arrow:Marker 003,Arrow:Marker 003,Arrow:Marker 004,Arrow:Marker 004,Arrow:Marker 004,Arrow:Marker 005,Arrow:Marker 005,Arrow:Marker 005
,ID,9AE8AD4F971A11F1ABE2E0AD00C476B3,9AE8AD4F971A11F1ABE2E0AD00C476B3,9AE8AD4F971A11F1ABE2E0AD00C476B3,9AE8AD4F971A11F1ABE2E0AD00C476B3,9AE8AD4F971A11F1ABE2E0AD00C476B3,9AE8AD4F971A11F1ABE2E0AD00C476B3,9AE8AD4F971A11F1ABE2E0AD00C476B3,"9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","9AE8AD4F971A11F1:ABE2E0AD00C476B3","ACEC0679971A11F1:ABE2E0AD00C476B3","ACEC0679971A11F1:ABE2E0AD00C476B3","ACEC0679971A11F1:ABE2E0AD00C476B3","ACEC067A971A11F1:ABE2E0AD00C476B3","ACEC067A971A11F1:ABE2E0AD00C476B3","ACEC067A971A11F1:ABE2E0AD00C476B3","ACEC067B971A11F1:ABE2E0AD00C476B3","ACEC067B971A11F1:ABE2E0AD00C476B3","ACEC067B971A11F1:ABE2E0AD00C476B3","ACEC067C971A11F1:ABE2E0AD00C476B3","ACEC067C971A11F1:ABE2E0AD00C476B3","ACEC067C971A11F1:ABE2E0AD00C476B3","ACEC067D971A11F1:ABE2E0AD00C476B3","ACEC067D971A11F1:ABE2E0AD00C476B3","ACEC067D971A11F1:ABE2E0AD00C476B3"
,Parent,,,,,,,,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000585,0.000106,-0.000182,1.000000,263.284882,48.562496,755.523132,13.235450,54.977932,766.003296,138.444550,55.467972,765.630188,513.792969,56.075310,761.831482,388.467712,57.060452,763.507019,262.484253,19.230783,720.643555,13.222343,54.972145,765.979797,138.462540,55.530029,765.655212,513.869324,56.233913,761.856140,388.323395,56.746883,763.402222,262.526215,19.282236,720.705322
1,0.008333,0.000620,0.000204,-0.000228,1.000000,263.305420,48.587250,755.502502,13.258606,55.024887,766.031799,138.467697,55.503464,765.634338,513.815430,56.076633,761.762634,388.490570,57.073154,763.462646,262.495300,19.258074,720.621033,13.274947,54.983711,765.983948,138.473343,55.515903,765.638550,513.728271,56.001091,761.656067,388.503754,57.133156,763.559082,262.541168,19.299185,720.671509
2,0.016667,0.000477,0.000415,-0.000313,1.000000,263.315002,48.573338,755.476257,13.273746,55.056290,766.109497,138.482727,55.513577,765.658936,513.828857,56.022152,761.628174,388.504913,57.040356,763.380920,262.485138,19.234272,720.603516,13.294710,54.990559,766.007751,138.504944,55.532875,765.703613,513.802490,55.887749,761.447998,388.389099,57.163013,763.545166,262.569916,19.291929,720.674561
3,0.025000,0.000714,0.000420,-0.000360,1.000000,263.326904,48.561005,755.467529,13.286382,55.062447,766.106506,138.495422,55.508156,765.654785,513.841553,55.983307,761.620422,388.517731,57.012478,763.374939,262.493927,19.238592,720.580872,13.254986,55.007278,766.036194,138.511932,55.571125,765.675354,513.937561,55.981529,761.488586,388.344788,56.938641,763.487488,262.575073,19.298838,720.655212
4,0.033333,0.000271,0.000312,-0.000323,1.000000,263.331909,48.566799,755.473938,13.288617,55.059074,766.052795,138.497681,55.513695,765.627930,513.844666,56.013180,761.674561,388.520355,57.034584,763.401001,262.508728,19.213425,720.613037,13.294281,55.035381,766.006165,138.515656,55.597824,765.661865,513.909668,56.133514,761.623413,388.309509,56.765511,763.406433,262.597656,19.261501,720.672974
