Format Version,1.25,Take Name,Take 2026-08-14 08.59.11 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-14 08.59.11.625 AM,Capture Start Frame,151764,Total Frames in Take,150,Total Exported Frames,150,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002:Marker 001,Rigid Body 002:Marker 001,Rigid Body 002:Marker 001,Rigid Body 002:Marker 002,Rigid Body 002:Marker 002,Rigid Body 002:Marker 002,Rigid Body 002:Marker 003,Rigid Body 002:Marker 003,Rigid Body 002:Marker 003,Rigid Body 002:Marker 001,Rigid Body 002:Marker 001,Rigid Body 002:Marker 001,Rigid Body 002:Marker 002,Rigid Body 002:Marker 002,Rigid Body 002:Marker 002,Rigid Body 002:Marker 003,Rigid Body 002:Marker 003,Rigid Body 002:Marker 003,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025
,ID,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,"E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265778979C11F1:ABE2E0AD00C477B3","E1265778979C11F1:ABE2E0AD00C477B3","E1265778979C11F1:ABE2E0AD00C477B3","E1265779979C11F1:ABE2E0AD00C477B3","E1265779979C11F1:ABE2E0AD00C477B3","E1265779979C11F1:ABE2E0AD00C477B3","E126577A979C11F1:ABE2E0AD00C477B3","E126577A979C11F1:ABE2E0AD00C477B3","E126577A979C11F1:ABE2E0AD00C477B3","39CA:F0529DA1979911F1","39CA:F0529DA1979911F1","39CA:F0529DA1979911F1","3B48:F0529DA1979911F1","3B48:F0529DA1979911F1","3B48:F0529DA1979911F1","3B4D:F0529DA1979911F1","3B4D:F0529DA1979911F1","3B4D:F0529DA1979911F1","3B4E:F0529DA1979911F1","3B4E:F0529DA1979911F1","3B4E:F0529DA1979911F1","3B4F:F0529DA1979911F1","3B4F:F0529DA1979911F1","3B4F:F0529DA1979911F1","3B50:F0529DA1979911F1","3B50:F0529DA1979911F1","3B50:F0529DA1979911F1","3B51:F0529DA1979911F1","3B51:F0529DA1979911F1","3B51:F0529DA1979911F1","3B52:F0529DA1979911F1","3B52:F0529DA1979911F1","3B52:F0529DA1979911F1","3B53:F0529DA1979911F1","3B53:F0529DA1979911F1","3B53:F0529DA1979911F1","3B54:F0529DA1979911F1","3B54:F0529DA1979911F1","3B54:F0529DA1979911F1","3B55:F0529DA1979911F1","3B55:F0529DA1979911F1","3B55:F0529DA1979911F1","3B56:F0529DA1979911F1","3B56:F0529DA1979911F1","3B56:F0529DA1979911F1","3B57:F0529DA1979911F1","3B57:F0529DA1979911F1","3B57:F0529DA1979911F1","3B58:F0529DA1979911F1","3B58:F0529DA1979911F1","3B58:F0529DA1979911F1","3B59:F0529DA1979911F1","3B59:F0529DA1979911F1","3B59:F0529DA1979911F1"
,Parent,,,,,,,,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000408,-0.000064,0.000212,1.000000,263.917938,26.561777,766.195251,291.829712,25.971258,818.650513,295.320221,27.788815,716.989929,204.604034,25.925261,762.945129,291.867767,25.971638,818.654602,295.288788,27.787838,717.025452,204.597031,25.925848,762.905701,230.316574,713.109375,688.662659,3619.697266,72.237518,-2987.645020,2265.982910,1411.186523,-1884.482056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.000235,-0.000221,0.000900,1.000000,263.900604,26.583546,766.134033,291.796783,25.964024,818.597229,295.316528,27.916996,716.940247,204.588638,25.869614,762.864441,291.838684,25.965446,818.550354,295.310669,27.915537,717.014832,204.553101,25.869631,762.838196,230.333771,713.148193,688.632935,3619.745361,72.106499,-2987.558838,2266.020508,1411.257568,-1884.396851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.000081,-0.000129,0.000752,1.000000,263.889374,26.594316,766.154480,291.795013,25.982639,818.612732,295.296600,27.903387,716.954468,204.576584,25.896923,762.896057,291.837555,25.984070,818.564758,295.276672,27.901585,717.038208,204.554108,25.897257,762.862610,230.318756,713.122498,688.549500,3619.656006,72.237961,-2987.603027,2266.054443,1411.321655,-1884.320190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.000495,0.000323,0.000051,1.000000,263.906525,26.628246,766.216614,291.858734,25.934021,818.649109,295.271057,27.934050,716.989258,204.589920,26.016670,763.011414,291.858307,25.934622,818.617004,295.244415,27.932884,717.034119,204.616333,26.017212,762.999573,230.317169,713.064880,688.575684,3619.562988,72.239014,-2987.493652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.000422,0.000110,0.000152,1.000000,263.946259,26.539259,766.271729,291.876190,25.858362,818.716248,295.331543,27.844131,717.057556,204.631134,25.915281,763.041199,291.875549,25.859112,818.676819,295.343567,27.843672,717.088806,204.620010,25.915003,763.049072,230.309738,712.943298,688.722168,3619.622070,72.088448,-2987.486572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.000656,-0.000272,0.000719,1.000000,263.961639,26.462399,766.308594,291.852234,25.788588,818.774109,295.383026,27.825932,717.119080,204.649750,25.772676,763.032410,291.874054,25.789448,818.744629,295.391663,27.825315,717.156738,204.619446,25.772434,763.024658,230.308029,712.891052,688.771729,3619.439697,72.115334,-2987.533691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,0.000918,-0.000315,0.001128,0.999999,263.963989,26.425945,766.317261,291.850677,25.747446,818.784790,295.388428,27.840996,717.131165,204.652969,25.689392,763.035645,291.878357,25.748554,818.748474,295.401276,27.840263,717.176758,204.612595,25.689018,763.026611,230.316467,712.861328,688.804504,3619.802734,71.695145,-2987.444092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.000924,-0.000243,0.000926,0.999999,263.981018,26.420584,766.344421,291.874939,25.730169,818.807983,295.398987,27.823496,717.153870,204.669220,25.708084,763.071350,291.890015,25.731598,818.746826,295.429077,27.822828,717.206604,204.624680,25.707338,763.079590,230.347443,712.888306,688.827271,3620.017822,71.333237,-2987.383789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.000910,0.000145,-0.000333,1.000000,264.006500,26.481565,766.385010,291.939453,25.722374,818.826843,295.389557,27.804073,717.169922,204.690567,25.918247,763.158142,291.909790,25.724051,818.727417,295.402924,27.802826,717.238281,204.705399,25.917883,763.185242,230.366348,712.908875,688.812439,3620.101562,71.219559,-2987.352539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.000284,-0.000122,0.000387,1.000000,264.028564,26.452017,766.340820,291.934479,25.798744,818.798401,295.436035,27.758095,717.140869,204.715225,25.799210,763.083008,291.942047,25.799385,818.770081,295.425903,27.757267,717.178162,204.717590,25.799383,763.074524,230.381180,712.880737,688.755554,3619.623047,71.616364,-2987.511719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.000426,-0.000244,0.000601,1.000000,264.040833,26.461496,766.307617,291.934235,25.805227,818.771851,295.459778,27.795013,717.115723,204.728592,25.784250,763.035034,291.963531,25.806387,818.730347,295.460571,27.793921,717.173645,204.698944,25.784178,763.019348,230.382919,712.901184,688.713745,3619.725586,71.485046,-2987.482666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.000192,-0.000136,0.000230,1.000000,264.019348,26.528732,766.312195,291.923553,25.916569,818.771240,295.428650,27.778162,717.111938,204.705902,25.891468,763.053223,291.952881,25.917067,818.763000,295.399994,27.777079,717.152771,204.704666,25.892033,763.021179,230.378098,713.004028,688.742249,3619.935303,71.199295,-2987.499756,,,,2265.940186,1411.128540,-1884.584839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.000054,-0.000191,0.000238,1.000000,263.984894,26.533438,766.307861,291.883392,25.907293,818.769836,295.399536,27.796888,717.111389,204.671829,25.896132,763.042358,291.944580,25.908962,818.717529,295.311432,27.793327,717.250549,204.692474,25.897776,762.965271,230.405411,713.092529,688.687134,3620.035400,71.053383,-2987.441406,,,,2265.975342,1411.230347,-1884.502808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
