Format Version,1.25,Take Name,Take 2026-08-14 12.04.45 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-14 12.04.45.615 PM,Capture Start Frame,1487855,Total Frames in Take,111,Total Exported Frames,111,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Star,Star,Star,Star,Star,Star,Star,Star:Marker 001,Star:Marker 001,Star:Marker 001,Star:Marker 002,Star:Marker 002,Star:Marker 002,Star:Marker 003,Star:Marker 003,Star:Marker 003,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001:Marker 001,Camera 001:Marker 001,Camera 001:Marker 001,Camera 001:Marker 002,Camera 001:Marker 002,Camera 001:Marker 002,Camera 001:Marker 003,Camera 001:Marker 003,Camera 001:Marker 003,Camera 001:Marker 001,Camera 001:Marker 001,Camera 001:Marker 001,Camera 001:Marker 002,Camera 001:Marker 002,Camera 001:Marker 002,Camera 001:Marker 003,Camera 001:Marker 003,Camera 001:Marker 003,Star:Marker 001,Star:Marker 001,Star:Marker 001,Star:Marker 002,Star:Marker 002,Star:Marker 002,Star:Marker 003,Star:Marker 003,Star:Marker 003,Unlabeled 14083,Unlabeled 14083,Unlabeled 14083,Unlabeled 14084,Unlabeled 14084,Unlabeled 14084,Unlabeled 14086,Unlabeled 14086,Unlabeled 14086,Unlabeled 14087,Unlabeled 14087,Unlabeled 14087,Unlabeled 14088,Unlabeled 14088,Unlabeled 14088,Unlabeled 14089,Unlabeled 14089,Unlabeled 14089,Unlabeled 14090,Unlabeled 14090,Unlabeled 14090,Unlabeled 14091,Unlabeled 14091,Unlabeled 14091,Unlabeled 14092,Unlabeled 14092,Unlabeled 14092,Unlabeled 14093,Unlabeled 14093,Unlabeled 14093,Unlabeled 14094,Unlabeled 14094,Unlabeled 14094,Unlabeled 14095,Unlabeled 14095,Unlabeled 14095,Unlabeled 14096,Unlabeled 14096,Unlabeled 14096,Unlabeled 14097,Unlabeled 14097,Unlabeled 14097,Unlabeled 14099,Unlabeled 14099,Unlabeled 14099,Unlabeled 14100,Unlabeled 14100,Unlabeled 14100,Unlabeled 14101,Unlabeled 14101,Unlabeled 14101,Unlabeled 14102,Unlabeled 14102,Unlabeled 14102
,ID,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,E1265734979C11F1ABE2E0AD00C477B3,"E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3","E1265734979C11F1:ABE2E0AD00C477B3",22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,22B6D3D7979E11F1ABE2E0AD00C477B3,"22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","22B6D3D7979E11F1:ABE2E0AD00C477B3","CF7ADDBC97B611F1:ABE2E0AD00C477B3","CF7ADDBC97B611F1:ABE2E0AD00C477B3","CF7ADDBC97B611F1:ABE2E0AD00C477B3","CF7ADDBD97B611F1:ABE2E0AD00C477B3","CF7ADDBD97B611F1:ABE2E0AD00C477B3","CF7ADDBD97B611F1:ABE2E0AD00C477B3","CF7ADDBE97B611F1:ABE2E0AD00C477B3","CF7ADDBE97B611F1:ABE2E0AD00C477B3","CF7ADDBE97B611F1:ABE2E0AD00C477B3","CF7ADDB997B611F1:ABE2E0AD00C477B3","CF7ADDB997B611F1:ABE2E0AD00C477B3","CF7ADDB997B611F1:ABE2E0AD00C477B3","CF7ADDBA97B611F1:ABE2E0AD00C477B3","CF7ADDBA97B611F1:ABE2E0AD00C477B3","CF7ADDBA97B611F1:ABE2E0AD00C477B3","CF7ADDBB97B611F1:ABE2E0AD00C477B3","CF7ADDBB97B611F1:ABE2E0AD00C477B3","CF7ADDBB97B611F1:ABE2E0AD00C477B3","1FE29:F0529DA1979911F1","1FE29:F0529DA1979911F1","1FE29:F0529DA1979911F1","1FF9C:F0529DA1979911F1","1FF9C:F0529DA1979911F1","1FF9C:F0529DA1979911F1","1FFA0:F0529DA1979911F1","1FFA0:F0529DA1979911F1","1FFA0:F0529DA1979911F1","1FFA1:F0529DA1979911F1","1FFA1:F0529DA1979911F1","1FFA1:F0529DA1979911F1","1FFA2:F0529DA1979911F1","1FFA2:F0529DA1979911F1","1FFA2:F0529DA1979911F1","1FFA3:F0529DA1979911F1","1FFA3:F0529DA1979911F1","1FFA3:F0529DA1979911F1","1FFA4:F0529DA1979911F1","1FFA4:F0529DA1979911F1","1FFA4:F0529DA1979911F1","1FFA8:F0529DA1979911F1","1FFA8:F0529DA1979911F1","1FFA8:F0529DA1979911F1","1FFA9:F0529DA1979911F1","1FFA9:F0529DA1979911F1","1FFA9:F0529DA1979911F1","1FFAA:F0529DA1979911F1","1FFAA:F0529DA1979911F1","1FFAA:F0529DA1979911F1","1FFAC:F0529DA1979911F1","1FFAC:F0529DA1979911F1","1FFAC:F0529DA1979911F1","1FFAD:F0529DA1979911F1","1FFAD:F0529DA1979911F1","1FFAD:F0529DA1979911F1","1FFAE:F0529DA1979911F1","1FFAE:F0529DA1979911F1","1FFAE:F0529DA1979911F1","1FFAF:F0529DA1979911F1","1FFAF:F0529DA1979911F1","1FFAF:F0529DA1979911F1","1FFB1:F0529DA1979911F1","1FFB1:F0529DA1979911F1","1FFB1:F0529DA1979911F1","1FFB2:F0529DA1979911F1","1FFB2:F0529DA1979911F1","1FFB2:F0529DA1979911F1","1FFB3:F0529DA1979911F1","1FFB3:F0529DA1979911F1","1FFB3:F0529DA1979911F1","1FFB5:F0529DA1979911F1","1FFB5:F0529DA1979911F1","1FFB5:F0529DA1979911F1"
,Parent,,,,,,,,Star,Star,Star,Star,Star,Star,Star,Star,Star,,,,,,,,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,Camera 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.436296,-0.001921,0.899801,0.000036,104.569344,730.629761,2181.617188,46.096245,731.143860,2192.181641,123.764160,729.599182,2126.487793,143.847672,731.146301,2226.182373,0.004671,0.435251,-0.007749,0.900264,-1718.619507,1259.514038,-816.036682,-1813.373779,1286.712891,-949.724426,-1728.258789,1281.586548,-720.211426,-1614.225464,1210.243164,-778.174072,-1814.054077,1287.049927,-949.881104,-1728.126465,1281.366577,-721.055359,-1613.540039,1210.088257,-776.969055,44.953564,731.152466,2192.305176,124.050438,729.578796,2125.365967,145.079391,731.163025,2227.612549,268.063568,634.307617,2152.013184,2580.256836,142.944412,-1852.324341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.436351,-0.001848,0.899775,-0.000189,104.564911,730.620789,2181.599854,46.090351,731.118408,2192.156738,123.766808,729.578674,2126.472900,143.837631,731.165283,2226.169678,0.004760,0.435212,-0.007938,0.900280,-1718.601807,1259.481934,-816.007629,-1813.333740,1286.719849,-949.703247,-1728.239868,1281.558716,-720.183228,-1614.231567,1210.167358,-778.136169,-1814.042603,1287.071533,-949.864624,-1728.128540,1281.348145,-721.038147,-1613.506836,1209.992188,-776.924805,44.952457,731.126709,2192.284180,124.055573,729.557739,2125.334473,145.052521,731.182922,2227.596191,268.083313,634.301147,2152.057861,2582.051758,146.276520,-1853.512329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.436493,-0.001650,0.899706,0.000018,104.580040,730.579956,2181.618896,46.102413,731.111267,2192.157227,123.798782,729.517700,2126.498291,143.838974,731.110901,2226.201172,0.004611,0.435201,-0.008352,0.900283,-1718.583252,1259.426880,-815.964905,-1813.296143,1286.639038,-949.679199,-1728.209229,1281.569824,-720.154541,-1614.244141,1210.071777,-778.060730,-1814.043579,1287.012573,-949.837036,-1728.131470,1281.373047,-721.028992,-1613.461304,1209.868408,-776.833557,44.926910,731.120544,2192.283691,124.094543,729.496643,2125.376221,145.071823,731.127808,2227.611816,267.980194,634.359253,2152.003418,2583.643555,150.275101,-1855.051636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.436517,-0.002144,0.899694,-0.000048,104.569435,730.590271,2181.618652,46.090969,731.080627,2192.154297,123.791672,729.584473,2126.498291,143.825684,731.105774,2226.203369,0.004743,0.435240,-0.008120,0.900265,-1718.591797,1259.477661,-815.999695,-1813.323975,1286.719849,-949.694275,-1728.216797,1281.575562,-720.178833,-1614.234497,1210.137695,-778.125732,-1814.053711,1287.079224,-949.876587,-1728.110840,1281.372070,-721.008240,-1613.479980,1209.950073,-776.895752,44.923752,731.088928,2192.270508,124.076508,729.564758,2125.387451,145.102875,731.122681,2227.661133,268.074524,634.288818,2152.019775,2585.460449,155.160690,-1856.742188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.436376,-0.001604,0.899763,-0.000160,104.597046,730.597168,2181.634521,46.122036,731.114685,2192.187744,123.801720,729.527100,2126.509277,143.867432,731.149780,2226.206299,0.005255,0.435223,-0.008105,0.900271,-1718.605835,1259.559814,-816.001587,-1813.320679,1286.966675,-949.674988,-1728.225830,1281.572388,-720.160583,-1614.270996,1210.140869,-778.169128,-1814.072998,1287.339111,-949.856873,-1728.123413,1281.366211,-721.019897,-1613.489258,1209.942871,-776.905884,44.920464,731.123413,2192.294678,124.083977,729.506836,2125.436768,145.152451,731.167053,2227.619629,268.075317,634.242981,2152.016602,2588.705322,158.413071,-1858.480347,2838.719971,103.633987,-2378.722168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
